date,D1,D2,D3,D4,D5,D6,D7,D8,D9,E1,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E2,E20,E3,E4,E5,E6,E7,E8,E9,I1,I2,I3,I4,I5,I6,I7,I8,I9,M1,M10,M11,M12,M13,M14,M15,M16,M17,M18,M2,M3,M4,M5,M6,M7,M8,M9,P1,P10,P11,P12,P13,P2,P3,P4,P5,P6,P7,P8,P9,S1,S10,S11,S12,S2,S3,S4,S5,S6,S7,S8,S9,V1,V10,V11,V12,V13,V2,V3,V4,V5,V6,V7,V8,V9,forward_returns,risk_free_rate,market_forward_excess_returns
2008-09-26,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8299999833106995,3.8269999027252197,2.9969999194145203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512700.0,220184.67353506002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8800048828125,0.0,0.0,0.0,0.0,1.0029887843100362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.3399963378906,0.0,34.7400016784668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.56665220542927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005107749840806086,3.293650727423411e-05,-0.005169123328133735
2008-09-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1183.699951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44999998807907104,3.631999969482422,3.181999981403351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497100.0,243557.08227562095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91998291015625,0.0,0.0,0.0,0.0,0.995673976499173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.04998779296875,0.0,46.720001220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.48296680037686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011837235565058557,1.7857142384090123e-05,-0.011885318183765991
2008-09-30,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1204.800048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999761581421,3.8269999027252197,2.9269999265670776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566800.0,239813.8414566995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.95001220703125,0.0,0.0,0.0,0.0,0.9860670449488805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.7699890136719,0.0,39.38999938964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.758706029084625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040842888092762486,3.5714284768180245e-05,0.0003615393279243915
2008-10-01,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1189.9000244140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929,3.7679998874664307,2.9679998755455017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483900.0,211865.15343532883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.8499755859375,0.0,0.0,0.0,0.0,0.9899467823058995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.95001220703125,0.0,39.810001373291016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74455507102095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020070316041539082,3.174603221908449e-05,-0.020097911706469393
2008-10-02,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1226.800048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5899999737739563,3.6459999084472656,3.0559999346733093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456200.0,215391.88501836857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.92999267578125,0.0,0.0,0.0,0.0,0.9783942826442598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.1000061035156,0.0,45.2599983215332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.151906352163472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3412697371982395e-05,-3.2454450276556354e-05
2008-10-03,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1229.9000244140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4699999988079071,3.6440000534057617,3.1740000545978546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456200.0,221779.28730591421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.239990234375,0.0,0.0,0.0,0.0,0.9856430650576425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.1000061035156,0.0,45.13999938964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.649592005647536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05950009509816789,1.8650793603488375e-05,-0.026519371901504316
2008-10-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1268.0999755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4099999964237213,3.4260001182556152,3.016000121831894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455100.0,237278.407798361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.65997314453125,0.0,0.0,0.0,0.0,0.9440787092640333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.3900146484375,0.0,52.04999923706055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.541523742650062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01092547129940491,1.626984112792545e-05,-0.010905405235838364
2008-10-07,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1333.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7850000262260437,3.50600004196167,2.721000015735626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476100.0,221906.31191444962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.819976806640625,0.0,0.0,0.0,0.0,0.9509153165059563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.95001220703125,0.0,53.68000030517578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.23397108164222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07583035218476086,3.115079469150967e-05,-0.026519371901504316
2008-10-08,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1397.5999755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6399999856948853,3.7149999141693115,3.0749999284744263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453600.0,208312.28942431544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.48001098632812,0.0,0.0,0.0,0.0,0.9086794925166682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.4700012207031,0.0,57.529998779296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.360660982838358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0043879852409509645,2.539682482916211e-05,-0.004305250670676937
2008-10-09,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1386.5999755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5799999833106995,3.8340001106262207,3.2540001273155212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443300.0,200860.89277979714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62.260009765625,0.0,0.0,0.0,0.0,0.9331146477674045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.8399963378906,0.0,63.91999816894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.57379274603714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05288772915929696,2.3015872353599187e-05,-0.026519371901504316
